scene	timestamp	event	event_key	x_coord	y_coord	key_code	key_name	description	
P17part2	354324	KeyPress	None	None	None	None	Back	None
P17part2	354357	KeyPress	None	None	None	None	Back	None
P17part2	354390	KeyPress	None	None	None	None	Back	None
P17part2	354423	KeyPress	None	None	None	None	Back	None
P17part2	354457	KeyPress	None	None	None	None	Back	None
P17part2	354540	KeyPress	None	None	None	None	None	None
P17part2	354705	KeyPress	None	None	None	None	G	None
P17part2	354879	KeyPress	None	None	None	None	E	None
P17part2	354951	KeyPress	None	None	None	None	R	None
P17part2	355077	KeyPress	None	None	None	None	M	None
P17part2	355293	KeyPress	None	None	None	None	A	None
P17part2	355394	KeyPress	None	None	None	None	R	None
P17part2	355752	KeyPress	None	None	None	None	None	None
P17part2	355844	KeyPress	None	None	None	None	R	None
P17part2	356842	KeyPress	None	None	None	None	U	None
P17part2	356987	KeyPress	None	None	None	None	D	None
P17part2	357098	KeyPress	None	None	None	None	O	None
P17part2	357292	KeyPress	None	None	None	None	L	None
P17part2	357743	KeyPress	None	None	None	None	F	None
P17part2	358051	KeyPress	None	None	None	None	OemPeriod	None
P17part2	358184	KeyPress	None	None	None	None	C	None
P17part2	358325	KeyPress	None	None	None	None	O	None
P17part2	358383	KeyPress	None	None	None	None	M	None
P17part2	358983	KeyPress	None	None	None	None	Tab	None
P17part2	360524	LeftMouseClick	None	445	357	None	None	None
P17part2	361307	LeftMouseClick	None	429	394	None	None	None
P17part2	362140	LeftMouseClick	None	435	419	None	None	None
P17part2	364012	LeftMouseClick	None	464	655	None	None	None
P17part2	365154	LeftMouseClick	None	427	455	None	None	None
P17part2	367170	LeftMouseClick	None	947	78	None	None	None
part1part1	92522	LeftMouseClick	None	828	542	None	None	None
part1part1	107902	LeftMouseClick	None	452	328	None	None	None
part1part1	112892	LeftMouseClick	None	439	326	None	None	None
part1part1	121534	LeftMouseClick	None	456	372	None	None	None
part1part1	123299	LeftMouseClick	None	455	254	None	None	None
part1part1	124551	LeftMouseClick	None	458	324	None	None	None
part1part1	129323	LeftMouseClick	None	452	333	None	None	None
part1part1	145130	LeftMouseClick	None	478	151	None	None	None
part1part1	146246	LeftMouseClick	None	472	190	None	None	None
part1part1	147170	LeftMouseClick	None	456	219	None	None	None
part1part1	149371	LeftMouseClick	None	459	224	None	None	None
part1part1	151210	LeftMouseClick	None	443	257	None	None	None
part1part1	154682	LeftMouseClick	None	444	302	None	None	None
part1part1	158388	LeftMouseClick	None	964	578	None	None	None
part2part2	170846	LeftMouseClick	None	879	522	None	None	None
part2part2	197064	LeftMouseClick	None	964	289	None	None	None
part2part2	198628	LeftMouseClick	None	938	289	None	None	None
part2part2	199770	LeftMouseClick	None	784	295	None	None	None
