Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic	1_doubleclicrate	1_fixationrate	1_leftclicrate	1_longestfixation	1_meanfixationduration	1_numdoubleclic	1_numevents	1_numfixations	1_numleftclic	1_numrightclic	1_numtransfrom_1	1_numtransfrom_2	1_numtransfrom_3	1_numtransfrom_4	1_proportionnum	1_proportiontime	1_proptransfrom_1	1_proptransfrom_2	1_proptransfrom_3	1_proptransfrom_4	1_rightclicrate	1_stddevfixationduration	1_timetofirstdoubleclic	1_timetofirstfixation	1_timetofirstleftclic	1_timetofirstrightclic	1_timetolastdoubleclic	1_timetolastfixation	1_timetolastleftclic	1_timetolastrightclic	1_totaltimespent	3_doubleclicrate	3_fixationrate	3_leftclicrate	3_longestfixation	3_meanfixationduration	3_numdoubleclic	3_numevents	3_numfixations	3_numleftclic	3_numrightclic	3_numtransfrom_1	3_numtransfrom_2	3_numtransfrom_3	3_numtransfrom_4	3_proportionnum	3_proportiontime	3_proptransfrom_1	3_proptransfrom_2	3_proptransfrom_3	3_proptransfrom_4	3_rightclicrate	3_stddevfixationduration	3_timetofirstdoubleclic	3_timetofirstfixation	3_timetofirstleftclic	3_timetofirstrightclic	3_timetolastdoubleclic	3_timetolastfixation	3_timetolastleftclic	3_timetolastrightclic	3_totaltimespent	2_doubleclicrate	2_fixationrate	2_leftclicrate	2_longestfixation	2_meanfixationduration	2_numdoubleclic	2_numevents	2_numfixations	2_numleftclic	2_numrightclic	2_numtransfrom_1	2_numtransfrom_2	2_numtransfrom_3	2_numtransfrom_4	2_proportionnum	2_proportiontime	2_proptransfrom_1	2_proptransfrom_2	2_proptransfrom_3	2_proptransfrom_4	2_rightclicrate	2_stddevfixationduration	2_timetofirstdoubleclic	2_timetofirstfixation	2_timetofirstleftclic	2_timetofirstrightclic	2_timetolastdoubleclic	2_timetolastfixation	2_timetolastleftclic	2_timetolastrightclic	2_totaltimespent	4_doubleclicrate	4_fixationrate	4_leftclicrate	4_longestfixation	4_meanfixationduration	4_numdoubleclic	4_numevents	4_numfixations	4_numleftclic	4_numrightclic	4_numtransfrom_1	4_numtransfrom_2	4_numtransfrom_3	4_numtransfrom_4	4_proportionnum	4_proportiontime	4_proptransfrom_1	4_proptransfrom_2	4_proptransfrom_3	4_proptransfrom_4	4_rightclicrate	4_stddevfixationduration	4_timetofirstdoubleclic	4_timetofirstfixation	4_timetofirstleftclic	4_timetofirstrightclic	4_timetolastdoubleclic	4_timetolastfixation	4_timetolastleftclic	4_timetolastrightclic	4_totaltimespent
16_allsc	0.00428521754506	0.0	588.14	3.28	0.421317560063	0.00314437737222	6.17994574504	0.000275719657638	0.00015839214375	170463	988.206480668	91.0	614.14	3.81	0.02375	10.8594118755	1.36792329285	559.152079366	228.774253731	134.492612811	3.17688609511	0.000777895377129	1.46872557848	132.678354506	39.4107142857	2.85069719195	486.11	2.39	0.0	0.978728431229	0	74	536	47	27	0	504	20390	2	0.00458376309083	0.0	614.14	3.645	1.2221066881	20.103255677	138.303105328	136.986767626	0.146181909035	0.000885646140161	1.16413644692	134.387657669	13.7727929388	1.76024367871	730.471038383	122623	71819.0552411	781.362007752	66869.8906709	19863.0	-1	-1	72807	-1	0.0	0.00404972065192	0.0001055947625	1291	246.930612245	0	18	245	18	0	186	49	5	3	0.457089552239	0.354903996762	0.765432098765	0.201646090535	0.0205761316872	0.0123456790123	0.0	157.451994574	-1	250	23815	-1	-1	167732	-1	-1	60498	0.0	0.00381033022862	5.86637569443e-06	749	262.444444444	0	1	27	1	0	8	2	13	4	0.0503731343284	0.0415691381707	0.296296296296	0.0740740740741	0.481481481481	0.148148148148	0.0	107.655443171	-1	3040	-1	-1	-1	158205	-1	-1	7086	0.0	0.00489524994814	3.51982541666e-05	600	204.279661017	0	6	236	6	0	51	176	3	5	0.440298507463	0.282817972229	0.217021276596	0.748936170213	0.0127659574468	0.0212765957447	0.0	94.9229158793	-1	4855	53391	-1	-1	170130	-1	-1	48210	0.0	0.00404736921001	1.17327513889e-05	625	247.074074074	0	2	27	2	0	0	6	6	15	0.0503731343284	0.0391345922576	0.0	0.222222222222	0.222222222222	0.555555555556	0.0	45.4564155459	-1	8661	13079	-1	-1	120762	-1	-1	6671
part1	0.00478838129703	0.0	570.41	3.43	0.493277426161	0.00370855965537	6.20433946718	0.0	0.000206031091965	53390	988.206480668	91.0	614.14	3.65	0.02125	10.8594118755	1.29772425101	573.288009975	228.181818182	133.685694329	3.29374759615	0.000742791983846	1.59319861758	130.410392403	39.1505376344	2.84280335729	550.08	3.02	0.0	1.12031535395	0	11	198	0	11	0	186	6412	1	0.00584879057962	0.0	614.14	3.645	1.23360033503	8.51503149749	135.469693439	137.505632927	0.104435098354	0.00102213476914	1.1980271806	128.849305134	13.5570436358	1.68205978823	255.651677448	45180	26336.0817827	312.266929046	24256.3329869	7282.0	-1	-1	72807	-1	0.0	0.0041562466979	0.000168570893426	1124	240.601694915	0	9	118	9	0	89	24	2	2	0.59595959596	0.531766248361	0.760683760684	0.205128205128	0.017094017094	0.017094017094	0.0	157.451994574	-1	250	23815	-1	-1	52216	-1	-1	28391	0.0	0.0045615813482	0.0	475	219.222222222	0	0	9	0	0	4	1	4	0	0.0454545454545	0.0369544858588	0.444444444444	0.111111111111	0.444444444444	0.0	0.0	107.655443171	-1	3040	-1	-1	-1	43796	-1	-1	1973	0.0	0.00484615384615	1.87300992695e-05	591	206.349206349	0	1	63	1	0	25	35	1	2	0.318181818182	0.243491290504	0.396825396825	0.555555555556	0.015873015873	0.031746031746	0.0	94.9229158793	-1	4855	53391	-1	-1	52641	-1	-1	13000	0.0	0.00440528634361	1.87300992695e-05	308	227.0	0	1	8	1	0	0	2	2	4	0.040404040404	0.0340138602735	0.0	0.25	0.25	0.5	0.0	45.4564155459	-1	8661	13079	-1	-1	50400	-1	-1	1816
part2	0.00405575462263	0.0	588.14	3.28	0.388500964854	0.00288708754367	6.15555202289	0.000401458918794	0.000136666865973	117073	958.465351638	91.0	605.63	3.81	0.02375	10.5325862817	1.408959528	551.347083716	229.121301775	134.964312933	3.11023626725	0.000797907561912	1.39611630567	134.004898377	39.5628930818	2.85531434052	486.11	2.39	0.0	0.978728431229	0	63	338	47	16	0	318	13978	1	0.00400685964062	0.0	570.28	3.435	1.21529706981	20.3962844255	140.134357176	136.885126686	0.122905045857	0.000796807094458	1.13943271643	137.706410021	13.9164068274	1.80699722957	474.819360935	77443	45482.9734584	469.095078706	42613.557684	12581.0	-1	206132	126791	-1	0.0	0.00395552371757	7.68751121095e-05	1291	252.811023622	0	9	127	9	0	97	25	3	1	0.37573964497	0.274247691611	0.769841269841	0.198412698413	0.0238095238095	0.00793650793651	0.0	186.353595128	-1	1365	49696	-1	-1	114333	-1	-1	32107	0.0	0.00352043809896	8.54167912328e-06	749	284.055555556	0	1	18	1	0	4	1	9	4	0.0532544378698	0.0436736053573	0.222222222222	0.0555555555556	0.5	0.222222222222	0.0	163.957122165	-1	12924	105415	-1	-1	104806	-1	-1	5113	0.0	0.00491337688157	4.27083956164e-05	600	203.526011561	0	5	173	5	0	26	141	2	3	0.511834319527	0.300752521931	0.151162790698	0.81976744186	0.0116279069767	0.0174418604651	0.0	81.6875475462	-1	1182	22368	-1	-1	116731	-1	-1	35210	0.0	0.00391349124614	8.54167912328e-06	625	255.526315789	0	1	19	1	0	0	4	4	11	0.0562130177515	0.0414698521435	0.0	0.210526315789	0.210526315789	0.578947368421	0.0	145.34264818	-1	12700	13664	-1	-1	67363	-1	-1	4855
17_allsc	0.00464772486836	6.79267070831e-06	609.27	2.185	0.390670653432	0.0032672746107	9.66822724978	0.000305670181874	0.000169816767708	294435	765.0272016	124.0	655.83	3.4	0.0611111111111	11.4183164418	1.42547174126	612.304492046	202.787941788	119.819910253	2.28240683625	0.00226100424945	1.41480690169	128.811095454	38.9458413926	2.98329706853	547.83	1.62	0.0	1.04110164763	2	142	962	90	50	0	517	35357	2	0.00460334203412	0.0	626.98	2.42	1.13830686208	18.0741449958	182.139386826	124.264163868	0.145498207667	0.00219226394477	1.04740104445	110.424696438	17.9652163679	1.43911763639	1368.45287161	195082	115027.113843	1355.38501182	66595.3363499	20135.0	-1	-1	92522	-1	0.0	0.00457713232319	0.000101890060625	2182	218.47740668	0	30	509	30	0	437	53	6	9	0.529106029106	0.377689473059	0.865346534653	0.10495049505	0.0118811881188	0.0178217821782	0.0	194.861825905	-1	550	35173	-1	-1	291937	-1	-1	111205	0.0	0.0067960100844	3.39633535415e-06	358	147.14516129	0	1	62	1	0	8	3	43	8	0.0644490644491	0.0309847674359	0.129032258065	0.0483870967742	0.693548387097	0.129032258065	0.0	-1	-1	-1	-1	-1	-1	291137	-1	-1	9123	6.79267070831e-06	0.00527508522024	5.09450303123e-05	1774	189.570397112	2	19	277	15	0	54	206	4	12	0.287941787942	0.178344965782	0.195652173913	0.746376811594	0.0144927536232	0.0434782608696	0.0	59.3519650632	-1	1091	-1	-1	-1	294252	-1	-1	52511	0.0	0.00508964189096	1.35853414166e-05	699	196.477477477	0	4	111	4	0	8	13	9	81	0.115384615385	0.0740706777387	0.0720720720721	0.117117117117	0.0810810810811	0.72972972973	0.0	70.766242737	-1	16781	19793	-1	-1	244359	-1	-1	21809
part1	0.00477512146799	0.0	627.56	2.39	0.347191486887	0.00352581315525	9.61015648972	0.0	0.000163448291965	85654	765.0272016	116.0	655.83	2.85	0.0525	11.4183164418	1.35883140937	631.939086094	207.413907285	98.7984704911	2.35472805247	0.00226766878533	1.29236364139	118.975621486	37.676300578	2.91561601113	621.86	1.99	0.0	1.09681322474	0	14	302	0	14	0	173	10286	1	0.00452645635251	0.0	626.98	2.42	1.14113699878	3.4290191281	175.973073121	105.684191987	0.124240854385	0.00209982185058	1.04704569366	103.462918236	17.4075419421	1.42189952948	409.008254219	62639	29738.3396178	387.709092418	20582.782517	6518.0	-1	-1	92522	-1	0.0	0.00445220595291	0.00014009853597	1466	224.607758621	0	12	232	12	0	212	16	0	1	0.76821192053	0.608366217573	0.92576419214	0.0698689956332	0.0	0.00436681222707	0.0	194.861825905	-1	550	35173	-1	-1	84129	-1	-1	52109	0.0	0	0.0	-1	-1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	0.00650998565596	0.0	416	153.610169492	0	0	59	0	0	18	39	0	2	0.195364238411	0.105809419292	0.305084745763	0.661016949153	0.0	0.0338983050847	0.0	59.3519650632	-1	1091	-1	-1	-1	84404	-1	-1	9063	0.0	0.00812274368231	2.3349755995e-05	300	123.111111111	0	2	9	2	0	1	3	0	5	0.0298013245033	0.0129357648213	0.111111111111	0.333333333333	0.0	0.555555555556	0.0	70.766242737	-1	16781	19793	-1	-1	85104	-1	-1	1108
part2	0.00459545944025	9.57941575143e-06	609.27	2.185	0.408508313618	0.00316120719797	9.72629800984	0.000431073708814	0.000172429483526	208781	611.619635934	124.0	653.11	3.4	0.0611111111111	10.4506443625	1.45590988983	602.780942474	200.671212121	129.421508688	2.24913370474	0.00225793315165	1.47063209635	133.757423933	39.5843023256	3.01733434449	547.83	1.62	0.0	1.04110164763	2	128	660	90	36	0	344	25071	1	0.00463488497229	0.0	627.55	2.375	1.13657868081	14.2030590783	184.984917783	130.837651818	0.14246047684	0.00223361661183	1.04359495401	113.58927915	18.2307492807	1.4485605946	959.444617395	132443	85288.7742254	967.6759194	46012.5538329	13617.0	201802	326189	170846	-1	0.0	0.00468728847976	8.62147417629e-05	2182	213.342960289	0	18	277	18	0	225	37	6	8	0.419696969697	0.283052576623	0.815217391304	0.134057971014	0.0217391304348	0.0289855072464	0.0	216.951577603	-1	766	57534	-1	-1	206275	-1	-1	59096	0.0	0.0067960100844	4.78970787572e-06	358	147.14516129	0	1	62	1	0	8	3	43	8	0.0939393939394	0.0436965049502	0.129032258065	0.0483870967742	0.693548387097	0.129032258065	0.0	67.8814894912	-1	12100	205621	-1	-1	205475	-1	-1	9123	9.57941575143e-06	0.00501749217455	7.18456181357e-05	1774	199.302752294	2	19	218	15	0	36	167	4	10	0.330303030303	0.208103227784	0.165898617512	0.769585253456	0.0184331797235	0.0460829493088	0.0	183.250225773	43411	66	38673	-1	-1	208590	-1	-1	43448	0.0	0.00492729819815	9.57941575143e-06	699	202.950980392	0	2	102	2	0	7	10	9	76	0.154545454545	0.0991517427352	0.0686274509804	0.0980392156863	0.0882352941176	0.745098039216	0.0	131.740397095	-1	11551	12455	-1	-1	158697	-1	-1	20701
18_allsc	0.00420020513843	0.0	667.85	3.32	0.426703441099	0.00301048035613	7.27618897412	0.000244722919273	0.000190340048323	257434	883.871843197	100.0	730.88	3.865	0.1025	10.426626412	1.39880415214	624.647093318	261.678709677	142.106046127	3.25823213699	0.000967600046349	1.47378949954	151.690518223	38.1928374656	3.44767775282	359.41	2.06	0.0	1.12009379875	0	112	775	63	49	0	726	30914	2	0.00441391465055	0.0	629.21	3.73	1.23566943529	28.4432276046	192.698855304	134.381758361	0.127805432189	0.00130510493855	1.18094854043	135.470510718	13.5588120095	1.83183782076	1081.27560961	202801	109847.973656	1136.29170415	110127.31623	27728.0	-1	-1	76151	-1	0.0	0.00395045723696	0.000159264122066	2049	253.135254989	0	41	451	41	0	374	56	12	8	0.581935483871	0.443469005648	0.831111111111	0.124444444444	0.0266666666667	0.0177777777778	0.0	162.015925959	-1	225	9336	-1	-1	255602	-1	-1	114164	0.0	0.0027135678392	3.8844907821e-06	983	368.518518519	0	1	27	1	0	9	1	12	5	0.0348387096774	0.0386506832819	0.333333333333	0.037037037037	0.444444444444	0.185185185185	0.0	14.338177476	-1	12400	-1	-1	-1	177810	-1	-1	9950	0.0	0.00425668167178	1.55379631284e-05	1033	234.924778761	0	4	226	4	0	58	158	0	9	0.291612903226	0.206239269094	0.257777777778	0.702222222222	0.0	0.04	0.0	76.5656886735	-1	1099	-1	-1	-1	256701	-1	-1	53093	0.0	0.00282223924525	1.16534723463e-05	1407	354.328571429	0	3	70	3	0	10	10	2	47	0.0903225806452	0.0963470248685	0.144927536232	0.144927536232	0.0289855072464	0.68115942029	0.0	186.745885205	-1	24134	26696	-1	-1	209473	-1	-1	24803
main_task	0.00420020513843	0.0	667.85	3.32	0.426703441099	0.00301048035613	7.27618897412	0.000244722919273	0.000190340048323	257434	883.871843197	100.0	730.88	3.865	0.1025	10.426626412	1.39880415214	624.647093318	261.678709677	142.106046127	3.25823213699	0.000967600046349	1.47378949954	151.690518223	38.1928374656	3.44767775282	359.41	2.06	0.0	1.12009379875	0	112	775	63	49	0	726	30914	2	0.00441391465055	0.0	629.21	3.73	1.23566943529	28.4432276046	192.698855304	134.381758361	0.127805432189	0.00130510493855	1.18094854043	135.470510718	13.5588120095	1.83183782076	1081.27560961	202801	109847.973656	1136.29170415	110127.31623	27728.0	-1	-1	76151	-1	0.0	0.00395045723696	0.000159264122066	2049	253.135254989	0	41	451	41	0	374	56	12	8	0.581935483871	0.443469005648	0.831111111111	0.124444444444	0.0266666666667	0.0177777777778	0.0	162.015925959	-1	225	9336	-1	-1	255602	-1	-1	114164	0.0	0.0027135678392	3.8844907821e-06	983	368.518518519	0	1	27	1	0	9	1	12	5	0.0348387096774	0.0386506832819	0.333333333333	0.037037037037	0.444444444444	0.185185185185	0.0	14.338177476	-1	12400	-1	-1	-1	177810	-1	-1	9950	0.0	0.00425668167178	1.55379631284e-05	1033	234.924778761	0	4	226	4	0	58	158	0	9	0.291612903226	0.206239269094	0.257777777778	0.702222222222	0.0	0.04	0.0	76.5656886735	-1	1099	-1	-1	-1	256701	-1	-1	53093	0.0	0.00282223924525	1.16534723463e-05	1407	354.328571429	0	3	70	3	0	10	10	2	47	0.0903225806452	0.0963470248685	0.144927536232	0.144927536232	0.0289855072464	0.68115942029	0.0	186.745885205	-1	24134	26696	-1	-1	209473	-1	-1	24803
