Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic
16_allsc	0.00443265564733	0.0	588.14	3.28	0.421317560063	0.00314437737222	6.12734592847	0.000275719657638	0.00015839214375	170463	988.206480668	91.0	614.14	3.81	0.02375	10.8594118755	1.41498835133	559.441395463	228.774253731	134.492612811	3.17688609511	0.000777895377129	2.05687280055	132.821416857	39.4921259843	2.85091254918	486.11	2.39	0.0	0.978728431229	0	74	536	47	27	0	508	20390	2	0.00641931873715	0.0	614.14	3.645	1.19849465847	20.0299983632	138.303105328	136.986767626	0.146181909035	0.000885646140161	1.68598191051	134.1285024	13.9336953775	1.75597437854	755.603779612	122623	71819.0552411	1094.25632989	67473.2797635	20062.0	-1	-1	72807	-1
part1	0.00496490832382	0.0	570.41	3.43	0.493277426161	0.00370855965537	6.1831120843	0.0	0.000206031091965	53390	988.206480668	91.0	614.14	3.65	0.02125	10.8594118755	1.3455657635	573.288009975	228.181818182	133.685694329	3.29374759615	0.000742791983846	2.10278919242	130.048519723	39.0748663102	2.84102156423	550.08	3.02	0.0	1.12031535395	0	11	198	0	11	0	187	6412	1	0.00771954826213	0.0	614.14	3.645	1.21251733272	8.51503149749	135.469693439	137.505632927	0.104435098354	0.00102213476914	1.60628990969	128.59771612	13.5600916417	1.67770897083	265.076455409	45180	26336.0817827	412.146681715	24319.0731883	7307.0	-1	-1	72807	-1
part2	0.00418992700454	0.0	588.14	3.28	0.388500964854	0.00288708754367	6.07157977264	0.000401458918794	0.000136666865973	117073	958.465351638	91.0	605.63	3.81	0.02375	10.5325862817	1.45557069496	551.347083716	229.121301775	134.964312933	3.11023626725	0.000797907561912	2.03008823862	134.436780608	39.7352024922	2.85667458715	486.11	2.39	0.0	0.978728431229	0	63	338	47	16	0	321	13978	1	0.00582636174162	0.0	570.28	3.435	1.19015337234	20.3962844255	140.134357176	136.885126686	0.122905045857	0.000796807094458	1.73256706058	137.419681195	14.1620633441	1.80255253428	490.527324203	77443	45482.9734584	682.109648176	43154.2065752	12755.0	-1	206132	126791	-1
17_allsc	0.00471707923264	6.79267070831e-06	609.27	2.185	0.390670653432	0.0032672746107	9.61969921737	0.000305670181874	0.000169816767708	294435	765.0272016	124.0	655.83	3.4	0.0611111111111	11.4183164418	1.44674294152	611.923235422	202.787941788	119.819910253	2.28240683625	0.00226100424945	2.03255768394	128.320915123	38.8579654511	2.97714044734	547.83	1.62	0.0	1.04110164763	2	142	962	90	50	0	521	35357	2	0.00661331112543	0.0	626.98	2.42	1.12606878811	18.0352708266	182.139386826	124.264163868	0.145498207667	0.00219226394477	1.6777556666	110.215029831	17.942187578	1.43734569031	1388.87322386	195082	115027.113843	1947.19026122	66855.1967792	20245.0	-1	-1	92522	-1
part1	0.00483013803441	0.0	627.56	2.39	0.347191486887	0.00352581315525	9.5734372612	0.0	0.000163448291965	85654	765.0272016	116.0	655.83	2.85	0.0525	11.4183164418	1.37448718671	631.939086094	207.413907285	98.7984704911	2.35472805247	0.00226766878533	1.84035584649	118.522066019	37.6034482759	2.90806809618	621.86	1.99	0.0	1.09681322474	0	14	302	0	14	0	174	10286	1	0.00644577899392	0.0	626.98	2.42	1.13310758222	3.4290191281	175.973073121	105.684191987	0.124240854385	0.00209982185058	1.66539274834	103.336795368	17.3837406477	1.42127567143	413.7206432	62639	29738.3396178	552.106753946	20622.8394873	6543.0	-1	-1	92522	-1
part2	0.00467069599563	9.57941575143e-06	609.27	2.185	0.408508313618	0.00316120719797	9.66596117355	0.000431073708814	0.000172429483526	208781	611.619635934	124.0	653.11	3.4	0.0611111111111	10.4506443625	1.47974594941	602.780942474	200.671212121	129.421508688	2.24913370474	0.00225793315165	2.12018770102	133.234459055	39.4870317003	3.0117761508	547.83	1.62	0.0	1.04110164763	2	128	660	90	36	0	347	25071	1	0.00668204246205	0.0	627.55	2.375	1.12215363608	14.2030590783	184.984917783	130.837651818	0.14246047684	0.00223361661183	1.67731906008	113.33310019	18.207910658	1.4461328744	975.152580663	132443	85288.7742254	1395.08350727	46232.3572919	13702.0	201802	326189	170846	-1
18_allsc	0.00435274873473	0.0	667.85	3.32	0.426703441099	0.00301048035613	7.21326194512	0.000244722919273	0.000190340048323	257434	883.871843197	100.0	730.88	3.865	0.1025	10.426626412	1.44960610321	625.018882991	261.678709677	142.106046127	3.25823213699	0.000967600046349	2.19043879041	153.656630013	38.3260273973	3.47377382642	359.41	2.06	0.0	1.12009379875	0	112	775	63	49	0	730	30914	2	0.00656023799267	0.0	629.21	3.73	1.20908626608	28.1211257942	192.698855304	134.381758361	0.127805432189	0.00130510493855	1.77802896232	137.748978423	13.6571986414	1.86064037666	1120.54551778	202801	109847.973656	1688.8283074	112169.339909	27978.0	-1	-1	76151	-1
main_task	0.00435274873473	0.0	667.85	3.32	0.426703441099	0.00301048035613	7.21326194512	0.000244722919273	0.000190340048323	257434	883.871843197	100.0	730.88	3.865	0.1025	10.426626412	1.44960610321	625.018882991	261.678709677	142.106046127	3.25823213699	0.000967600046349	2.19043879041	153.656630013	38.3260273973	3.47377382642	359.41	2.06	0.0	1.12009379875	0	112	775	63	49	0	730	30914	2	0.00656023799267	0.0	629.21	3.73	1.20908626608	28.1211257942	192.698855304	134.381758361	0.127805432189	0.00130510493855	1.77802896232	137.748978423	13.6571986414	1.86064037666	1120.54551778	202801	109847.973656	1688.8283074	112169.339909	27978.0	-1	-1	76151	-1
