scene	fixationindex	timestamp	fixationduration	mappedfixationpointx	mappedfixationpointy
P17part1	217	73279	292	532	144
P17part1	218	73596	117	497	149
P17part1	219	73820	117	803	157
P17part1	220	74237	192	640	139
P17part1	221	74445	250	614	139
P17part1	222	74703	92	594	126
P17part1	223	74811	108	597	136
P17part1	224	74953	175	688	173
P17part1	225	75161	133	749	187
P17part1	226	75944	133	632	189
P17part1	227	76111	250	752	184
P17part1	228	76385	192	838	169
P17part1	229	76610	75	894	182
P17part1	230	76727	200	725	161
P17part1	231	76952	158	756	170
P17part1	232	77227	92	903	180
P17part1	233	77376	200	608	169
P17part1	234	77643	100	698	216
P17part1	235	77851	83	779	197
P17part1	236	77943	83	774	234
P17part1	237	78068	158	857	232
P17part1	238	78251	250	903	231
P17part1	239	78567	117	557	230
P17part1	240	78851	83	652	251
P17part1	241	78959	133	725	252
P17part1	242	79175	150	484	403
P17part1	243	79375	92	456	414
P17part1	244	79650	108	834	213
P17part1	245	79975	142	816	275
P17part1	246	80166	100	293	401
P17part1	247	80275	83	295	425
P17part1	248	80466	167	409	433
P17part1	249	80691	167	316	437
P17part1	250	80941	150	443	403
P17part1	251	81291	100	307	482
P17part1	252	81424	175	418	482
P17part1	253	81749	75	495	495
P17part1	254	81957	375	309	475
P17part1	255	82365	158	389	483
P17part1	256	82581	100	424	506
P17part1	257	82715	142	497	486
P17part1	258	82940	158	534	484
P17part1	259	83373	150	338	491
P17part1	260	83572	241	405	482
P17part1	261	83822	125	409	485
P17part1	262	84097	175	318	441
P17part1	263	84297	75	406	461
P17part1	264	84389	83	409	464
P17part1	265	84630	108	535	475
P17part1	266	84755	100	583	493
P17part1	267	84963	142	286	483
P17part1	268	85188	325	399	501
P17part1	269	85713	175	307	439
P17part1	270	86004	208	359	459
P17part1	271	86229	142	309	452
P17part1	272	86454	108	343	460
P17part1	273	86621	142	408	449
P17part1	274	86787	175	448	456
P17part1	275	87295	158	302	473
P17part1	276	87661	75	449	464
P17part1	277	87820	192	538	482
P17part1	278	88111	142	306	462
P17part1	279	88344	167	385	491
P17part1	280	88594	158	462	474
P17part1	281	88761	175	447	505
P17part1	282	88961	142	477	466
P17part1	283	89127	125	551	472
P17part1	284	89510	67	817	561
P17part1	285	89668	125	774	577
P17part1	286	90301	142	313	428
P17part1	287	90626	75	304	431
P17part1	288	90843	391	309	440
P17part1	289	91542	125	501	470
P17part1	290	92558	192	1061	237
P17part1	291	92817	117	690	269
P17part1	292	93100	108	589	201
P17part1	293	93291	108	522	149
P17part1	294	93499	133	362	212
P17part1	295	93641	75	359	187
P17part1	296	93749	167	423	223
P17part1	297	93957	150	346	190
P17part1	298	94124	225	324	199
P17part1	299	94382	108	358	194
P17part1	300	94532	200	412	193
P17part1	301	94765	241	456	189
P17part1	302	95023	175	488	188
P17part1	303	95307	108	633	220
P17part1	304	95423	133	600	223
P17part1	305	95606	208	729	241
P17part1	306	95856	208	807	233
P17part1	307	96089	142	854	254
P17part1	308	96256	100	939	250
P17part1	309	96448	100	594	258
P17part1	310	96689	158	676	254
P17part1	311	96881	117	720	256
P17part1	312	97022	183	812	254
P17part1	313	97239	167	911	257
P17part1	314	97622	100	608	243
P17part1	315	97930	117	712	252
P17part1	316	98063	216	619	287
P17part1	317	98305	108	657	284
P17part1	318	98554	208	717	280
P17part1	319	98796	175	799	294
P17part1	320	99021	175	854	282
P17part1	321	99362	150	737	284
P17part1	322	99545	175	787	285
P17part1	323	99829	67	360	330
P17part1	324	99962	92	394	379
P17part1	325	100095	150	363	383
P17part1	326	100262	200	436	395
P17part1	327	100545	167	371	358
P17part1	328	100753	225	428	374
P17part1	329	101011	333	384	326
P17part1	330	101378	225	435	372
P17part1	331	101628	100	393	336
P17part1	332	101786	133	393	358
P17part1	333	101952	300	360	310
P17part1	334	102335	225	413	313
P17part1	335	102602	350	395	284
P17part1	336	102977	292	368	245
P17part1	337	103293	183	421	248
P17part1	338	103526	217	329	189
P17part1	339	103859	83	382	175
P17part1	340	103959	192	347	181
P17part1	341	104176	67	382	164
P17part1	342	104259	117	392	185
P17part1	343	104417	83	442	208
P17part1	344	104526	150	474	214
P17part1	345	104742	150	343	324
P17part1	346	104900	100	357	303
P17part1	347	105025	441	435	306
P17part1	348	105492	133	408	343
P17part1	349	105642	250	369	368
P17part1	350	105983	175	414	380
P17part1	351	106175	225	441	367
P17part1	352	106716	108	360	358
P17part1	353	106874	150	374	408
P17part1	354	107074	150	701	330
P17part1	355	107241	191	636	327
P17part1	356	107449	133	616	316
P17part1	357	107649	150	769	323
P17part1	358	107932	1466	416	231
P17part1	359	109439	508	392	302
P17part1	360	109980	175	354	315
P17part1	361	110197	175	406	305
P17part1	362	110505	266	370	405
P17part1	363	110938	283	428	414
P17part1	364	111238	150	388	400
P17part1	365	111596	67	401	372
P17part1	366	111688	558	391	361
P17part1	367	112262	142	373	344
P17part1	368	112446	466	411	349
P17part1	369	112937	258	378	258
P17part1	370	113212	92	399	238
P17part1	371	113428	616	335	241
P17part1	372	114061	175	361	273
P17part1	373	114253	92	373	331
P17part1	374	114428	192	394	338
P17part1	375	114644	241	355	296
P17part1	376	114919	142	413	296
P17part1	377	115219	183	410	287
P17part1	378	115435	108	341	265
P17part1	379	115560	341	328	265
P17part1	380	115927	250	362	298
P17part1	381	116218	217	327	267
P17part1	382	116468	625	400	271
P17part1	383	117126	158	430	267
P17part1	384	117309	591	473	273
P17part1	385	117934	150	375	346
P17part1	386	118100	117	363	360
P17part1	387	118258	75	420	366
P17part1	388	118350	350	430	356
P17part1	389	118758	75	385	391
P17part1	390	118850	100	367	413
P17part1	391	119083	233	433	386
P17part1	392	119374	92	367	295
P17part1	393	119541	75	373	291
P17part1	394	119899	200	369	305
P17part1	395	120157	175	713	298
P17part1	396	120399	217	418	362
P17part1	397	120632	242	417	405
P17part1	398	120890	291	446	422
P17part1	399	121307	92	368	407
P17part1	400	121465	316	386	258
P17part1	401	121790	866	393	272
P17part1	402	122672	166	384	309
P17part1	403	122856	150	344	273
P17part1	404	123064	225	426	308
P17part1	405	123305	608	412	281
P17part1	406	123938	142	386	387
P17part1	407	124105	275	408	381
P17part1	408	124388	75	436	382
P17part1	409	124538	1141	388	299
P17part1	410	125854	92	401	283
P17part1	411	126012	241	859	323
P17part1	412	126287	325	696	285
P17part1	413	126753	75	373	281
P17part1	414	126845	183	402	297
P17part1	415	127103	192	370	364
P17part1	416	127353	100	372	401
P17part1	417	127502	241	419	408
P17part1	418	127761	175	389	399
P17part1	419	127952	200	365	371
P17part1	420	128202	208	422	364
P17part1	421	128460	108	381	379
P17part1	422	128577	108	382	365
P17part1	423	128710	258	412	368
P17part1	424	129010	266	323	335
P17part1	425	129326	575	373	375
P17part1	426	129909	217	366	382
P17part1	427	130159	117	399	414
P17part1	428	130509	100	329	312
P17part1	429	130625	133	323	335
P17part1	430	130825	391	373	331
P17part1	431	131308	117	321	331
P17part1	432	131508	192	363	372
P17part1	433	131733	125	331	332
P17part1	434	131925	117	376	370
P17part1	435	132091	366	422	370
P17part1	436	132474	175	425	365
P17part1	437	132666	283	438	381
P17part1	438	132974	233	381	335
P17part1	439	133232	200	433	339
P17part1	440	133490	158	323	316
P17part1	441	133673	258	404	325
P17part1	442	134148	150	696	463
P17part1	443	134398	100	680	620
P17part1	444	134590	83	654	625
P17part1	445	134789	117	683	446
P17part1	446	134931	175	641	393
P17part1	447	135181	92	600	400
P17part1	448	135339	108	937	164
P17part1	449	135539	83	936	165
P17part1	450	135664	125	684	175
P17part1	451	135830	158	696	417
P17part1	452	135997	117	727	388
P17part1	453	136397	133	654	631
P17part1	454	136713	133	722	621
P17part1	455	136855	300	710	616
P17part1	456	137279	117	699	304
P17part1	457	137421	416	675	167
P17part1	458	138021	125	926	190
P17part1	459	138295	83	954	182
P17part1	460	138454	125	890	103
P17part1	461	138612	133	826	119
P17part1	462	138903	167	1097	215
P17part1	463	139128	150	1052	166
P17part1	464	139295	166	1058	206
P17part1	465	139553	117	1050	147
P17part1	466	139728	158	307	199
P17part1	467	139928	150	206	231
P17part1	468	140311	358	334	157
P17part1	469	140677	83	352	174
P17part1	470	140802	175	461	170
P17part1	471	140994	200	488	171
P17part1	472	141219	283	336	173
P17part1	473	141527	175	367	176
P17part1	474	141743	225	473	162
P17part1	475	142001	150	494	200
P17part1	476	142176	383	452	199
P17part1	477	142609	333	397	194
P17part1	478	142951	192	367	202
P17part1	479	143226	166	449	200
P17part1	480	143417	217	489	192
P17part1	481	143800	67	376	170
P17part1	482	143883	67	373	215
P17part1	483	143958	158	385	236
P17part1	484	144175	291	329	194
P17part1	485	144500	242	470	215
P17part1	486	144833	266	394	229
P17part1	487	145116	641	420	204
P17part1	488	145807	391	392	261
P17part1	489	146207	475	396	226
P17part1	490	146707	208	399	279
P17part1	491	147148	791	396	239
P17part1	492	147964	799	374	224
P17part1	493	148864	258	391	303
P17part1	494	149138	167	435	295
P17part1	495	149330	1291	400	233
P17part1	496	150654	483	400	337
P17part1	497	151154	708	404	283
P17part1	498	151895	200	416	353
P17part1	499	152128	117	324	338
P17part1	500	152253	75	319	361
P17part1	501	152436	117	387	377
P17part1	502	152570	200	366	401
P17part1	503	152786	283	366	436
P17part1	504	153094	200	364	348
P17part1	505	153327	225	369	382
P17part1	506	153577	275	417	383
P17part1	507	153894	216	334	349
P17part1	508	154160	408	429	351
P17part1	509	154610	183	399	306
P17part1	510	154835	83	481	356
P17part1	511	154943	208	459	357
P17part1	512	155176	1149	397	291
