scene	timestamp	event	event_key	x_coord	y_coord	key_code	key_name	description
main_taskpart1	76151	LeftMouseClick	None	444	382	None	None	None
main_taskpart1	80945	LeftMouseClick	None	459	382	None	None	None
main_taskpart1	86450	LeftMouseClick	None	475	383	None	None	None
main_taskpart1	93511	LeftMouseClick	None	812	543	None	None	None
main_taskpart1	104014	LeftMouseClick	None	435	291	None	None	None
main_taskpart1	110518	LeftMouseClick	None	426	196	None	None	None
main_taskpart1	121461	LeftMouseClick	None	430	295	None	None	None
main_taskpart1	124067	LeftMouseClick	None	421	332	None	None	None
main_taskpart1	130497	LeftMouseClick	None	404	368	None	None	None
main_taskpart1	146470	LeftMouseClick	None	955	573	None	None	None
main_taskpart2	156837	LeftMouseClick	None	894	516	None	None	None
main_taskpart2	162784	LeftMouseClick	None	555	126	None	None	None
main_taskpart2	164215	LeftMouseClick	None	656	124	None	None	None
main_taskpart2	164983	LeftMouseClick	None	558	112	None	None	None
main_taskpart2	166190	LeftMouseClick	None	411	111	None	None	None
main_taskpart2	180182	LeftMouseClick	None	472	332	None	None	None
main_taskpart2	181488	LeftMouseClick	None	534	106	None	None	None
main_taskpart2	189167	LeftMouseClick	None	646	125	None	None	None
main_taskpart2	195346	LeftMouseClick	None	413	113	None	None	None
main_taskpart2	199222	LeftMouseClick	None	536	115	None	None	None
main_taskpart2	200660	LeftMouseClick	None	407	113	None	None	None
main_taskpart2	202192	LeftMouseClick	None	516	104	None	None	None
main_taskpart2	203501	LeftMouseClick	None	420	105	None	None	None
main_taskpart2	205839	LeftMouseClick	None	526	108	None	None	None
main_taskpart2	208512	LeftMouseClick	None	406	111	None	None	None
main_taskpart2	212718	LeftMouseClick	None	492	113	None	None	None
main_taskpart2	214166	LeftMouseClick	None	410	120	None	None	None
main_taskpart2	217846	LeftMouseClick	None	512	115	None	None	None
main_taskpart2	219823	LeftMouseClick	None	413	110	None	None	None
main_taskpart2	221296	LeftMouseClick	None	484	104	None	None	None
main_taskpart2	223037	LeftMouseClick	None	397	111	None	None	None
main_taskpart2	226246	LeftMouseClick	None	506	104	None	None	None
