Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic
16_allsc	0.00428521754506	0.0	588.14	3.28	0.421317560063	0.00314437737222	6.12734592847	0.000275719657638	0.00015839214375	170463	988.206480668	91.0	614.14	3.81	0.02375	10.8594118755	1.36792329285	559.441395463	228.774253731	134.492612811	3.17688609511	0.000777895377129	2.00686757192	132.821416857	39.4921259843	2.85091254918	486.11	2.39	0.0	0.978728431229	0	74	536	47	27	0	508	20390	2	0.00626325682559	0.0	614.14	3.645	1.2221066881	20.0299983632	138.303105328	136.986767626	0.146181909035	0.000885646140161	1.67748232255	134.1285024	13.9336953775	1.75597437854	730.471038383	122623	71819.0552411	1067.65354826	67473.2797635	20062.0	-1	-1	72807	-1
part1	0.00478838129703	0.0	570.41	3.43	0.493277426161	0.00370855965537	6.1831120843	0.0	0.000206031091965	53390	988.206480668	91.0	614.14	3.65	0.02125	10.8594118755	1.29772425101	573.288009975	228.181818182	133.685694329	3.29374759615	0.000742791983846	2.05652929015	130.048519723	39.0748663102	2.84102156423	550.08	3.02	0.0	1.12031535395	0	11	198	0	11	0	187	6412	1	0.00754972356003	0.0	614.14	3.645	1.23360033503	8.51503149749	135.469693439	137.505632927	0.104435098354	0.00102213476914	1.63047360138	128.59771612	13.5600916417	1.67770897083	255.651677448	45180	26336.0817827	403.07974087	24319.0731883	7307.0	-1	-1	72807	-1
part2	0.00405575462263	0.0	588.14	3.28	0.388500964854	0.00288708754367	6.07157977264	0.000401458918794	0.000136666865973	117073	958.465351638	91.0	605.63	3.81	0.02375	10.5325862817	1.408959528	551.347083716	229.121301775	134.964312933	3.11023626725	0.000797907561912	1.97789823628	134.436780608	39.7352024922	2.85667458715	486.11	2.39	0.0	0.978728431229	0	63	338	47	16	0	321	13978	1	0.00567657621647	0.0	570.28	3.435	1.21529706981	20.3962844255	140.134357176	136.885126686	0.122905045857	0.000796807094458	1.70604180408	137.419681195	14.1620633441	1.80255253428	474.819360935	77443	45482.9734584	664.57380739	43154.2065752	12755.0	-1	206132	126791	-1
